                         	artichoke	ruby-lipped cattleya	frangipani	pink-yellow dahlia?	buttercup	orange dahlia	red ginger	desert-rose	hippeastrum	sword lily	pelargonium	siam tulip	camellia	snapdragon	osteospermum	blanket flower	alpine sea holly	garden phlox	foxglove	japanese anemone	tree poppy	sweet pea	grape hyacinth	morning glory	king protea	thorn apple	bee balm	wild pansy	bolero deep blue	bougainvillea	peruvian lily	yellow iris	bearded iris	fritillary	black-eyed susan	stemless gentian	common dandelion	clematis	primula	bromelia	great masterwort	fire lily	lotus	english marigold	colt's foot	monkshood	spear thistle	gazania	water lily	canterbury bells	bird of paradise	tree mallow	globe thistle	californian poppy	moon orchid	mexican petunia	balloon flower	poinsettia	pincushion flower	barbeton daisy	marigold	hard-leaved pocket orchid	toad lily	mexican aster	columbine	oxeye daisy	magnolia	azalea	blackberry lily	silverbush	canna lily	passion flower	cyclamen	sunflower	petunia	daffodil	geranium	watercress	mallow	prince of wales feathers	purple coneflower	cautleya spicata	trumpet creeper	gaura	giant white arum lily	bishop of llandaff	hibiscus	ball moss	anthurium	cape flower	wallflower	love in the mist	carnation	sweet william	spring crocus	tiger lily	pink primrose	rose	globe-flower	lenten rose	windflower	corn poppy
bishop of llandaff       	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	1.0       	0.0        	0.0       	1.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	5.0          	2.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	1.0    	1.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	10.0      	0.0              	4.0           	0.0     	0.0                      	0.0      	1.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	1.0       	0.0           	1.0     	0.0      	10.0   	0.0     	17.0    	2.0       	0.0   	0.0                     	0.0              	0.0             	1.0            	0.0  	0.0                  	56.0              	6.0     	0.0      	3.0      	0.0        	2.0       	0.0             	0.0      	1.0          	0.0          	0.0       	0.0          	4.0 	0.0         	0.0        	0.0       	0.0       
hibiscus                 	0.0      	0.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	5.0       	0.0        	0.0       	1.0     	2.0       	0.0         	3.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	3.0          	2.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	4.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	1.0            	0.0           	1.0       	0.0              	3.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	1.0       	0.0           	3.0     	0.0      	1.0    	0.0     	2.0     	1.0       	0.0   	0.0                     	1.0              	0.0             	2.0            	0.0  	0.0                  	0.0               	5.0     	0.0      	3.0      	0.0        	3.0       	0.0             	1.0      	0.0          	0.0          	0.0       	0.0          	4.0 	0.0         	0.0        	0.0       	2.0       
ball moss                	1.0      	1.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	0.0       	0.0        	4.0       	0.0     	2.0       	1.0         	0.0           	0.0             	0.0         	1.0     	0.0             	0.0       	1.0      	0.0           	2.0          	0.0        	0.0        	0.0     	2.0       	0.0             	3.0          	0.0          	0.0        	1.0         	1.0       	0.0             	0.0             	0.0             	1.0     	0.0    	0.0     	0.0             	0.0      	2.0  	0.0             	0.0        	0.0      	0.0          	0.0    	2.0       	0.0             	0.0             	1.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	1.0     	2.0   	0.0            	0.0       	0.0       	4.0           	3.0     	0.0      	2.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	1.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	3.0        	0.0       	0.0             	0.0      	1.0          	0.0          	0.0       	1.0          	2.0 	0.0         	0.0        	0.0       	0.0       
anthurium                	0.0      	0.0                 	0.0       	2.0                	0.0      	0.0          	2.0       	1.0        	1.0        	1.0       	0.0        	0.0       	1.0     	1.0       	0.0         	0.0           	0.0             	0.0         	2.0     	0.0             	0.0       	1.0      	0.0           	1.0          	0.0        	0.0        	2.0     	1.0       	0.0             	0.0          	0.0          	0.0        	0.0         	2.0       	0.0             	0.0             	0.0             	1.0     	0.0    	3.0     	0.0             	0.0      	1.0  	0.0             	0.0        	0.0      	0.0          	0.0    	4.0       	0.0             	1.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	2.0   	0.0            	0.0       	0.0       	0.0           	0.0     	0.0      	2.0    	0.0     	4.0     	3.0       	1.0   	0.0                     	0.0              	0.0             	4.0            	0.0  	0.0                  	12.0              	5.0     	0.0      	9.0      	0.0        	3.0       	0.0             	3.0      	0.0          	0.0          	0.0       	0.0          	5.0 	0.0         	2.0        	0.0       	0.0       
cape flower              	2.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	1.0        	0.0       	0.0        	0.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	4.0     	1.0             	0.0       	1.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	3.0          	5.0          	0.0        	0.0         	3.0       	0.0             	0.0             	0.0             	3.0     	0.0    	0.0     	1.0             	0.0      	1.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	1.0          	0.0      	0.0        	0.0     	2.0   	0.0            	0.0       	0.0       	4.0           	1.0     	0.0      	5.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	1.0              	1.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	1.0      	32.0       	0.0       	0.0             	1.0      	2.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	1.0       
wallflower               	0.0      	0.0                 	0.0       	1.0                	0.0      	2.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	1.0     	0.0       	0.0             	0.0          	0.0          	0.0        	1.0         	0.0       	1.0             	0.0             	0.0             	0.0     	3.0    	3.0     	0.0             	0.0      	0.0  	2.0             	0.0        	0.0      	0.0          	2.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	1.0            	0.0       	1.0       	0.0           	0.0     	0.0      	1.0    	2.0     	0.0     	5.0       	1.0   	2.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	1.0               	0.0     	0.0      	0.0      	0.0        	23.0      	0.0             	0.0      	0.0          	0.0          	2.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
love in the mist         	2.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	3.0        	0.0       	0.0     	0.0       	1.0         	0.0           	1.0             	0.0         	0.0     	0.0             	0.0       	0.0      	1.0           	3.0          	0.0        	3.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	2.0             	0.0             	1.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	1.0          	0.0    	1.0       	1.0             	0.0             	0.0        	0.0          	1.0              	0.0        	6.0            	2.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	2.0      	0.0          	0.0      	1.0        	0.0     	0.0   	0.0            	0.0       	0.0       	5.0           	0.0     	0.0      	6.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	0.0       	3.0             	0.0      	0.0          	0.0          	0.0       	1.0          	0.0 	0.0         	0.0        	0.0       	0.0       
carnation                	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	1.0        	2.0        	2.0       	0.0        	0.0       	3.0     	1.0       	0.0         	0.0           	0.0             	1.0         	0.0     	0.0             	2.0       	0.0      	0.0           	0.0          	0.0        	1.0        	0.0     	1.0       	0.0             	0.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	0.0    	1.0     	0.0             	0.0      	2.0  	0.0             	0.0        	0.0      	0.0          	0.0    	3.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	3.0       	0.0              	2.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	2.0     	3.0   	0.0            	0.0       	0.0       	0.0           	2.0     	0.0      	3.0    	0.0     	0.0     	1.0       	0.0   	0.0                     	1.0              	0.0             	2.0            	0.0  	1.0                  	0.0               	2.0     	0.0      	5.0      	0.0        	2.0       	0.0             	0.0      	0.0          	0.0          	0.0       	1.0          	2.0 	0.0         	1.0        	0.0       	1.0       
sweet william            	1.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	5.0       	0.0        	0.0       	1.0     	4.0       	0.0         	0.0           	0.0             	1.0         	6.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	6.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	2.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	1.0             	0.0             	4.0        	0.0          	0.0              	0.0        	0.0            	0.0           	2.0       	0.0              	2.0           	0.0     	0.0                      	0.0      	1.0          	0.0      	0.0        	0.0     	6.0   	0.0            	0.0       	0.0       	0.0           	3.0     	0.0      	7.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	2.0      	0.0      	0.0        	0.0       	0.0             	0.0      	10.0         	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
spring crocus            	2.0      	2.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	1.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	1.0     	0.0             	0.0       	0.0      	0.0           	1.0          	0.0        	0.0        	2.0     	1.0       	0.0             	0.0          	0.0          	0.0        	1.0         	0.0       	0.0             	0.0             	0.0             	2.0     	0.0    	0.0     	1.0             	0.0      	0.0  	0.0             	0.0        	1.0      	0.0          	0.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	1.0        	1.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	2.0     	0.0   	0.0            	0.0       	0.0       	2.0           	6.0     	0.0      	0.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	2.0  	1.0                  	0.0               	0.0     	0.0      	0.0      	1.0        	0.0       	0.0             	1.0      	2.0          	2.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
tiger lily               	0.0      	0.0                 	1.0       	0.0                	0.0      	0.0          	3.0       	0.0        	2.0        	2.0       	0.0        	0.0       	0.0     	2.0       	0.0         	1.0           	0.0             	0.0         	0.0     	0.0             	0.0       	1.0      	0.0           	0.0          	0.0        	0.0        	4.0     	0.0       	0.0             	2.0          	0.0          	1.0        	0.0         	1.0       	0.0             	0.0             	1.0             	0.0     	1.0    	1.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	1.0    	1.0       	0.0             	1.0             	0.0        	0.0          	2.0              	0.0        	0.0            	0.0           	2.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	0.0            	0.0       	3.0       	0.0           	0.0     	3.0      	1.0    	0.0     	1.0     	3.0       	4.0   	1.0                     	0.0              	0.0             	4.0            	0.0  	0.0                  	1.0               	1.0     	0.0      	2.0      	0.0        	5.0       	0.0             	0.0      	1.0          	0.0          	5.0       	0.0          	0.0 	0.0         	0.0        	0.0       	1.0       
pink primrose            	1.0      	0.0                 	3.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	5.0       	0.0        	0.0       	4.0     	1.0       	1.0         	0.0           	0.0             	1.0         	3.0     	1.0             	1.0       	1.0      	0.0           	3.0          	0.0        	6.0        	1.0     	2.0       	0.0             	0.0          	1.0          	0.0        	2.0         	0.0       	0.0             	0.0             	0.0             	2.0     	2.0    	0.0     	1.0             	0.0      	2.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	4.0        	0.0          	0.0              	0.0        	1.0            	1.0           	1.0       	2.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	2.0        	3.0     	1.0   	0.0            	2.0       	0.0       	2.0           	5.0     	0.0      	5.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	2.0              	0.0             	0.0            	0.0  	2.0                  	0.0               	1.0     	0.0      	1.0      	1.0        	0.0       	0.0             	2.0      	1.0          	2.0          	0.0       	2.0          	2.0 	0.0         	0.0        	0.0       	0.0       
rose                     	0.0      	0.0                 	2.0       	7.0                	0.0      	3.0          	0.0       	1.0        	0.0        	0.0       	0.0        	0.0       	5.0     	2.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	1.0       	0.0      	0.0           	0.0          	0.0        	1.0        	0.0     	1.0       	0.0             	2.0          	4.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	3.0     	0.0             	0.0      	2.0  	0.0             	1.0        	0.0      	0.0          	0.0    	12.0      	0.0             	3.0             	0.0        	0.0          	1.0              	0.0        	0.0            	0.0           	1.0       	0.0              	1.0           	0.0     	1.0                      	1.0      	0.0          	1.0      	0.0        	1.0     	1.0   	2.0            	0.0       	1.0       	2.0           	3.0     	0.0      	7.0    	0.0     	5.0     	1.0       	0.0   	0.0                     	0.0              	0.0             	4.0            	0.0  	0.0                  	4.0               	5.0     	0.0      	9.0      	0.0        	0.0       	0.0             	0.0      	1.0          	0.0          	1.0       	2.0          	10.0	0.0         	0.0        	0.0       	0.0       
globe-flower             	0.0      	0.0                 	2.0       	2.0                	2.0      	0.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	0.0     	2.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	1.0          	1.0          	2.0        	0.0         	0.0       	0.0             	0.0             	1.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	4.0        	0.0      	0.0          	1.0    	2.0       	0.0             	1.0             	0.0        	0.0          	10.0             	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	4.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	0.0           	0.0     	1.0      	0.0    	4.0     	0.0     	0.0       	1.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	4.0 	4.0         	0.0        	0.0       	0.0       
lenten rose              	0.0      	0.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	1.0     	1.0       	0.0         	0.0           	0.0             	0.0         	3.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	1.0     	1.0       	0.0             	0.0          	1.0          	1.0        	0.0         	2.0       	0.0             	0.0             	0.0             	1.0     	0.0    	2.0     	0.0             	0.0      	0.0  	0.0             	1.0        	0.0      	2.0          	0.0    	2.0       	0.0             	2.0             	0.0        	1.0          	0.0              	0.0        	1.0            	0.0           	0.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	1.0        	4.0     	2.0   	0.0            	0.0       	0.0       	6.0           	0.0     	0.0      	5.0    	0.0     	0.0     	1.0       	0.0   	1.0                     	1.0              	1.0             	0.0            	0.0  	0.0                  	0.0               	2.0     	0.0      	1.0      	3.0        	0.0       	0.0             	0.0      	0.0          	0.0          	2.0       	0.0          	1.0 	0.0         	3.0        	0.0       	0.0       
windflower               	0.0      	0.0                 	3.0       	0.0                	0.0      	0.0          	0.0       	1.0        	1.0        	0.0       	1.0        	0.0       	3.0     	0.0       	0.0         	0.0           	0.0             	1.0         	0.0     	4.0             	2.0       	0.0      	0.0           	2.0          	4.0        	4.0        	1.0     	0.0       	0.0             	1.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	1.0    	0.0     	0.0             	0.0      	5.0  	0.0             	0.0        	0.0      	0.0          	0.0    	4.0       	0.0             	0.0             	1.0        	0.0          	1.0              	2.0        	1.0            	0.0           	0.0       	2.0              	2.0           	0.0     	1.0                      	0.0      	0.0          	0.0      	1.0        	0.0     	1.0   	0.0            	0.0       	0.0       	3.0           	0.0     	0.0      	1.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	2.0                  	0.0               	2.0     	0.0      	1.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	2.0          	0.0 	0.0         	0.0        	8.0       	0.0       
corn poppy               	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	1.0        	4.0       	0.0        	0.0       	4.0     	2.0       	0.0         	3.0           	0.0             	0.0         	0.0     	0.0             	0.0       	1.0      	0.0           	0.0          	0.0        	0.0        	1.0     	0.0       	0.0             	1.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	1.0       	0.0              	9.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	2.0   	0.0            	0.0       	0.0       	0.0           	1.0     	0.0      	2.0    	0.0     	0.0     	6.0       	1.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	3.0               	2.0     	0.0      	2.0      	0.0        	4.0       	0.0             	2.0      	0.0          	0.0          	0.0       	0.0          	4.0 	0.0         	0.0        	0.0       	6.0       

Accuracy = 17.90535046349%

Balanced Accuracy = 19.324438369905113%

C=0.1
gamma=1
kernel=linear
